Sample.id,Species,Season,Preference,C.P.perc,GAE.mg.ml,TAE.mg.ml,S.S.mg.ml,St.mg.ml,TNC.mg.ml
WOAK.7.31.D,Qual,summer,neutral,22.234,0.133004,0.00127555,0.1337693,0.0874352,0.2212045
SMAP.8.3.D,Acsa,summer,avoided,25.955,0.322976,0.001371207,0.0644882,0.1106519,0.1751401
AELM.7.29.D,Ulam,summer,preferred,15.4885,0.139808,0.001397318,0.1635286,0.2422589,0.4057875
WOAK.7.28.D,Qual,summer,neutral,26.721,0.134732,0.001405974,0.1101856,0.103783,0.2139686
SMAP.7.29.C,Acsa,summer,avoided,28.946,0.349436,0.001459956,0.0761457,0.1101856,0.1863313
AELM.7.30.D,Ulam,summer,preferred,12.018,0.148232,0.00152196,0.2188335,0.181246,0.4000795
SMAP.7.30.D,Acsa,summer,avoided,23.653,0.36326,0.001590779,0.0551622,0.0500329,0.1051951
bwil1.17,Sani,winter,preferred,12.912,0.1131375,0.001961449,0.2645309,0.097894,0.3624249
WOAK.7.28.C,Qual,summer,neutral,18.073,0.2906792,0.002660739,0.1224683,0.1055168,0.2279851
WOAK.8.1.D,Qual,summer,neutral,16.068,0.225344,0.002716615,0.111544,0.1043867,0.2159307
WOAK.7.29.D,Qual,summer,neutral,18.655,0.227288,0.002761276,0.0991129,0.0795245,0.1786374
WOAK.7.29.C,Qual,summer,neutral,13.538,0.26822,0.003100423,0.0943314,0.08068,0.1750114
